Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GDYN","GRID DYNAMICS HOLDINGS INC CLASS A","Information Technology","Equity","154,579.30","0.00","154,579.30","11,510.00","13.43","United States","NASDAQ","USD","1.00","USD","-"
"LXU","LSB INDUSTRIES INC","Materials","Equity","154,356.84","0.00","154,356.84","19,764.00","7.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPB","MID PENN BANCORP INC","Financials","Equity","154,182.34","0.00","154,182.34","5,681.00","27.14","United States","NASDAQ","USD","1.00","USD","-"
"NEXT","NEXTDECADE CORP","Energy","Equity","154,617.96","0.00","154,617.96","32,012.00","4.83","United States","NASDAQ","USD","1.00","USD","-"
"NECB","NORTHEAST COMMUNITY BANCORP INC","Financials","Equity","154,620.55","0.00","154,620.55","7,195.00","21.49","United States","NASDAQ","USD","1.00","USD","-"
"RUSHB","RUSH ENTERPRISES INC CLASS B","Industrials","Equity","153,267.04","0.00","153,267.04","3,412.00","44.92","United States","NASDAQ","USD","1.00","USD","-"
"SLP","SIMULATIONS PLUS INC","Health Care","Equity","154,346.88","0.00","154,346.88","4,231.00","36.48","United States","NASDAQ","USD","1.00","USD","-"
"AMAL","AMALGAMATED FINANCIAL","Financials","Equity","152,299.73","0.00","152,299.73","5,147.00","29.59","United States","NASDAQ","USD","1.00","USD","-"
"HOUS","ANYWHERE REAL ESTATE INC","Real Estate","Equity","152,625.69","0.00","152,625.69","31,997.00","4.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRY","BERRY","Energy","Equity","152,883.55","0.00","152,883.55","23,341.00","6.55","United States","NASDAQ","USD","1.00","USD","-"
"CTKB","CYTEK BIOSCIENCES INC","Health Care","Equity","153,070.54","0.00","153,070.54","28,294.00","5.41","United States","NASDAQ","USD","1.00","USD","-"
"PLOW","DOUGLAS DYNAMICS INC","Industrials","Equity","151,848.00","0.00","151,848.00","5,550.00","27.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOCO","EL POLLO LOCO INC","Consumer Discretionary","Equity","151,793.28","0.00","151,793.28","11,552.00","13.14","United States","NASDAQ","USD","1.00","USD","-"
"HUMA","HUMACYTE INC","Health Care","Equity","152,370.24","0.00","152,370.24","24,816.00","6.14","United States","NASDAQ","USD","1.00","USD","-"
"LQDT","LIQUIDITY SERVICES INC","Industrials","Equity","152,985.75","0.00","152,985.75","6,845.00","22.35","United States","NASDAQ","USD","1.00","USD","-"
"ALGT","ALLEGIANT TRAVEL","Industrials","Equity","150,893.19","0.00","150,893.19","3,723.00","40.53","United States","NASDAQ","USD","1.00","USD","-"
"ATRO","ASTRONICS CORP","Industrials","Equity","150,361.75","0.00","150,361.75","7,811.00","19.25","United States","NASDAQ","USD","1.00","USD","-"
"EBF","ENNIS INC","Industrials","Equity","150,573.53","0.00","150,573.53","6,607.00","22.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQBK","EQUITY BANCSHARES INC CLASS A","Financials","Equity","151,669.62","0.00","151,669.62","4,022.00","37.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FRPH","FRP HOLDINGS INC","Real Estate","Equity","150,835.20","0.00","150,835.20","5,120.00","29.46","United States","NASDAQ","USD","1.00","USD","-"
